서비스,내용
Psychotherapy,"Psychotherapy is discussion-based mental health therapy. It’s also known as “therapy” and “counseling.” TRICARE covers office-based outpatient psychotherapy when medically or psychologically necessary to treat a mental health disorder. TRICARE covers inpatient and outpatient services, including: Individual sessions: Individual sessions are covered up to 60 minutes. Individual crisis sessions may extend up to 120 minutes. Family or conjoint sessions: Therapy designed to treat the entire family. Regular sessions are covered up to 90 minutes. Crisis sessions may extend up to 180 minutes. Group sessions: Therapy in which multiple patients are treated together as a group. TRICARE covers group sessions up to 90 minutes. Note: TRICARE only covers marriage counseling when it’s necessary for the treatment of a diagnosed mental disorder."
Psychoanalysis,Psychoanalysis is long-term mental health therapy that explores subconscious thoughts to gain insights into behaviors and symptoms. TRICARE covers psychoanalysis if your: Provider has the correct certification Treatment is pre-authorized
Psychological testing and assessment,TRICARE covers psychological testing and assessment to help diagnose a patient and develop a treatment plan. Psychological testing must be medically or psychologically necessary. It isn’t covered for the following circumstances: Academic placement Job placement Child custody disputes General screening in the absence of specific symptoms Teacher or parental referrals Testing to determine if a person has a learning disorder or learning disability Testing related to diagnosed specific learning disorders or learning disabilities
Psychotropic drugs,Covered when prescribed by an authorized provider as part of a treatment plan
Electroconvulsive therapy,ECT is covered when medically or psychologically appropriate and rendered by TRICARE-authorized providers.
Collateral visits,Collateral visits are visits between a provider and a family member or other responsible person. TRICARE covers collateral visits when needed.
Medication assisted treatment,Medication assisted treatment combines medication and mental health therapies for the treatment of substance use disorder.
Ancillary therapies,TRICARE only covers ancillary therapies as part of the treatment plan at one of the following types of facilities: Inpatient facility Residential substance use disorder treatment Psychiatric residential treatment center (children and adolescents under age 21) Partial hospitalization program Intensive outpatient program Therapies include: Art Music Dance Occupational Other ancillary therapies
